N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN
1,1,0.101519846932076,0.1233644235879671,7,6,0.1581602096557617
1,1,0.101519846932076,0.1233644235879671,7,6,0.1189198493957519
1,1,0.101519846932076,0.1233644235879671,7,6,0.1544816493988037
1,1,0.101519846932076,0.1233644235879671,7,6,0.1228775978088378
1,1,0.101519846932076,0.1233644235879671,7,6,0.1474301815032959
2,1,0.5392634111615854,0.7419654701502312,13,14,0.482126235961914
2,1,0.5392634111615854,0.7419654701502312,13,14,0.4406411647796631
2,1,0.5392634111615854,0.7419654701502312,13,14,0.3906924724578857
2,1,0.5392634111615854,0.7419654701502312,13,14,0.3773043155670166
2,1,0.5392634111615854,0.7419654701502312,13,14,0.38338494300842285
