N,M,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN
1,1,0.1015198469320761,0.1233644235879671,0.238438606262207
1,1,0.1015198469320761,0.1233644235879671,0.2378995418548584
1,1,0.1015198469320761,0.1233644235879671,0.2449162006378173
1,1,0.1015198469320761,0.1233644235879671,0.3700647354125976
1,1,0.1015198469320761,0.1233644235879671,0.2701618671417236
2,1,0.5392634111615855,0.7419654701502313,9.356898546218872
2,1,0.5392634111615856,0.7419654701502313,3.807236194610596
2,1,0.5392634111615855,0.7419654701502313,3.8312792778015137
2,1,0.5392634111615856,0.7419654701502313,4.365103960037232
2,1,0.5392634111615856,0.7419654701502313,3.8716835975646973
